Change Component Footprint: Designator=R22 Old Footprint=R0805 New Footprint=R0603
Change component parameters: Designator = "R22" ("R22"); Footprint = "R0805"; UniqueID = "\LFZWVJBQ" ("\LFZWVJBQ")
Change component parameters (AddParameter): Name = "Application Category"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ID"; Value = "348"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Limit Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RC0603FR-07200KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "24.03.2010"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Andrew Danich"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series Type"; Value = "Thick-Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Total Power Dissipation"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ðåçèñòîð"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "200k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Working Temperature Max"; Value = "+155°Ñ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Working Temperature Min"; Value = "-55°Ñ"; VariantName = "[No Variations]"
